Id,Label,names,pageranks
15406,,Tin,0.000483
1094308,,Steel,0.00081
1213678,,Limestone,0.001009
9728,,Excretion,0.000082
10516,,Ostwald process,0.00008
20454,,Cubic crystal system,0.000076
680536,,Scuba diving,0.000276
252843,,Electric current,0.000499
49755,,Israel,0.003471
98332,,Italy,0.00484
230038,,Canada,0.005576
1279626,,Belarus,0.000624
174674,,Hispania,0.001001
1204794,,Neolithic,0.001675
7883,,List of inventors,0.000018
8516,,Medical school,0.000274
46403,,Morocco,0.000976
88990,,Italian people,0.000432
112785,,Venezuela,0.00112
118980,,Torpedo,0.000091
253322,,John Ambrose Fleming,0.000045
255583,,Phonograph,0.000409
255728,,Liquid crystal display,0.000142
367035,,Turkey,0.002872
405704,,Iran,0.002362
413732,,Serbia,0.001477
471303,,Iraq,0.002017
541013,,United Kingdom,0.009673
619317,,Ukraine,0.001619
682479,,Bulgaria,0.001489
713837,,Azerbaijan,0.000468
782188,,Postage stamp,0.000409
785921,,Romania,0.001903
817457,,Novel,0.000742
832420,,Muhammad Yunus,0.000072
832501,,Bangladesh,0.001248
877164,,George Eastman,0.000059
897495,,Slovenia,0.000818
946976,,Basketball,0.002147
1064197,,CinemaScope,0.000085
1090992,,Robert Hooke,0.000023
1101949,,Algebra,0.000173
1136379,,Parachute,0.000203
1136803,,Wind tunnel,0.000065
1136813,,Zeppelin,0.000142
1232959,,Clay,0.000366
1254241,,AK-74,0.000074
1313468,,Poland,0.003083
1386407,,Skyscraper,0.000391
1452789,,Vodka,0.000139
1523138,,Ivan Kulibin,0.000021
1537250,,University,0.000773
1625918,,Czechoslovakia,0.001346
1634038,,Igor Spassky,0.00002
1728090,,Internet,0.002137
1771549,,Steam engine,0.000258
9896,,Digitalis,0.00008
350468,,John Woodward (naturalist),0.000022
843548,,Flower,0.000533
610154,,Australia,0.004698
1175077,,BBC News,0.001918
8055,,DuPont,0.000193
232926,,South Carolina,0.000734
681781,,Antarctica,0.001098
807904,,U.S. Securities and Exchange Commission,0.000151
1089360,,Materials science,0.000342
1424459,,National Historic Landmark,0.000628
8087,,By-product,0.00005
8698,,Gelatin,0.000099
842999,,Bark,0.000074
8269,,Bacillus,0.000018
172521,,Venus (mythology),0.000165
1400304,,African American,0.001561
1496185,,Vienna,0.001733
1653406,,Nigeria,0.000749
8309,,Index of sexology articles,0.000018
11586,,Gender,0.000252
26185,,Genophobia,0.000019
56736,,Concupiscence,0.000054
68509,,Stockholm syndrome,0.000043
135488,,Transgender,0.000243
135504,,Femininity,0.00004
136668,,Sexism,0.000259
279119,,Marriage,0.00085
352543,,Fantasy,0.00041
847505,,Hermaphrodite,0.000057
1067607,,Mnage  trois,0.000032
885852,,Spider,0.000102
1105998,,Catholic Church,0.003811
1175416,,The Independent,0.001256
1539426,,University of Michigan,0.000666
8339,,Phenylketonuria,0.00002
187620,,Ireland,0.002004
195254,,Norway,0.002024
370894,,Finland,0.001692
8371,,Sugar substitute,0.000018
511635,,Body plan,0.000079
8525,,General practitioner,0.000086
23096,,Kampala,0.00013
187541,,Republic of Ireland,0.001385
280589,,Pennsylvania,0.001304
442007,,Pakistan,0.002352
621948,,Chile,0.001128
624053,,Iceland,0.00094
652939,,Academic degree,0.000309
802740,,Hungary,0.001857
1091056,,Physics,0.001243
1099474,,Statistics,0.000729
1609252,,Quebec,0.001388
1711932,,Nepal,0.000783
117472,,United States Navy,0.001751
446994,,Spain,0.003461
8655,,Camphor,0.000054
42732,,Quran,0.000244
1205255,,Switzerland,0.002027
8673,,Reference Daily Intake,0.000018
802030,,Romani people,0.001179
877012,,Photographic film,0.000123
1254867,,Ammunition,0.000049
8824,,Bupropion,0.000023
9225,,Placebo,0.000072
8850,,Nortriptyline,0.000018
8961,,Cocaine,0.000416
11080,,Rate equation,0.000024
11876,,Mental health,0.000355
253107,,Distortion,0.000127
267270,,Dallas,0.000783
1406267,,United States Army,0.000854
1715239,,The Economist,0.001636
58885,,British Library,0.000495
117739,,San Diego,0.000399
138509,,Austria,0.00187
243528,,Florida,0.001671
335131,,Georgia (U.S. state),0.001164
461123,,Blas Valera,0.000035
568995,,Colombia,0.000944
945252,,"Memphis, Tennessee",0.000491
1208256,,Puerto Rico,0.001391
1549575,,United States Department of Defense,0.000689
9008,,Multiple sclerosis signs and symptoms,0.000018
9037,,Intention tremor,0.000018
1121863,,Yoga,0.000304
60242,,Jerome,0.000347
279029,,U.S. state,0.001696
1167402,,Censorship,0.000268
1400547,,Barack Obama,0.002246
1400548,,George W. Bush,0.002395
880439,,New Zealand,0.002361
1204836,,Geneva,0.00075
1354957,,Ghana,0.00049
9421,,Goodpasture's syndrome,0.000018
9431,,Tracheal intubation,0.000019
9920,,Cardiac dysrhythmia,0.000025
1091124,,Measuring instrument,0.000147
9478,,Cyanosis,0.000018
1205228,,Basel,0.000414
9764,,Dieting,0.000063
9941,,Levofloxacin,0.000023
9961,,Hydromorphone,0.000023
614233,,Western Australia,0.000512
9700,,Superior mesenteric artery syndrome,0.000018
14721,,Renal vein,0.000026
9771,,History of general anesthesia,0.000018
43488,,Abbasid Caliphate,0.000237
64873,,Philosophy,0.001347
361446,,Edo period,0.000401
491006,,Osaka,0.000427
843281,,Chinese herbology,0.000019
1463418,,Tajikistan,0.000406
843323,,Digitalis purpurea,0.000032
845238,,Eudicots,0.000373
853552,,Lepidoptera,0.000366
1205356,,French language,0.002636
10013,,TRPV,0.000018
10391,,Aging-associated diseases,0.000018
11022,,Downstream core element,0.000018
11095,,Nucleoprotein,0.000018
67913,,Biological determinism,0.000028
354608,,Gender studies,0.000032
457098,,Loanword,0.000313
974267,,Genre,0.000702
1033735,,Charles Dickens,0.000744
1205348,,German language,0.003085
1455774,,Spanish language,0.002256
11588,,Ernst von Fleischl-Marxow,0.000018
11698,,Cryo-electron microscopy,0.000018
11856,,Psychopathy,0.000029
326972,,Washington State Legislature,0.000046
543242,,The Times,0.002229
1167891,,NATO,0.002602
1398130,,Law,0.000691
53035,,Lebanon,0.001026
1419990,,Dorothea Dix,0.000036
1537808,,Princeton University,0.000699
11980,,Chemical database,0.000026
642566,,C (programming language),0.00027
647855,,Chemical Abstracts Service,0.000045
12177,,Milk thistle,0.000018
843376,,Annual plant,0.000113
848962,,Asteraceae,0.000215
12209,,GATA1,0.000018
60113,,Lutheranism,0.001245
180323,,Prussia,0.001221
835651,,Kent,0.000508
870531,,Asteroid,0.000444
978355,,Artist,0.000247
1079791,,Down House,0.000027
1108161,,Professor,0.000383
1115861,,Canary Islands,0.000339
12300,,List of geneticists,0.000018
294055,,Utah,0.00057
1537761,,Stanford University,0.001152
12445,,Patrick Holford,0.000018
13259,,Health Disparities Center,0.000018
1537805,,Temple University,0.000093
15364,,Work function,0.00016
16158,,Supernova nucleosynthesis,0.000056
347877,,Cornwall,0.000528
575780,,Czech Republic,0.001032
15549,,Radioactive waste,0.00005
21843,,Subduction,0.000583
433392,,Somalia,0.000535
1094447,,Tool,0.000204
1113942,,Concrete,0.000173
1396980,,Turncoat,0.000026
1601871,,Oil well,0.000115
15576,,Westinghouse Electric Company,0.000018
808057,,Privately held company,0.000153
1163290,,CBS,0.001908
867166,,Red giant,0.000146
1090966,,Atomic nucleus,0.000155
16487,,27th Troop Carrier Squadron,0.000018
16584,,5th Troop Carrier Squadron,0.000018
18286,,First Air Force,0.000062
17156,,Freeman Field Mutiny,0.000023
250268,,Coleman Young,0.000046
460588,,Mayor,0.000989
17263,,464th Fighter Squadron,0.000018
17629,,93d Air Refueling Squadron,0.000023
17742,,92d Air Refueling Wing,0.000032
117810,,Guam,0.000705
119785,,Korean War,0.001459
1134232,,Nazi Germany,0.002534
17751,,Andersen Air Force Base,0.000101
394841,,South Korea,0.001741
1513212,,Alabama,0.000716
17955,,Robert H. Reed,0.000018
1403254,,Delaware,0.000486
18067,,Harold E. Comstock,0.000018
118409,,"Newport, Rhode Island",0.000153
18084,,494th Fighter Squadron,0.000018
18241,,Northrop P-61 Black Widow,0.000018
18348,,Third Air Force,0.000057
118128,,Solomon Islands,0.000605
518025,,Papua New Guinea,0.000608
710149,,Sardinia,0.000612
18307,,List of United States Air Force installations,0.000051
18318,,Boeing KC-135 Stratotanker,0.000054
18382,,United States Department of the Air Force,0.000081
745475,,"Belleville, Illinois",0.000055
1136035,,Reconnaissance,0.000247
1136236,,Lockheed C-130 Hercules,0.000052
1136283,,Surveillance aircraft,0.000106
1400458,,Robert Gates,0.000324
1522220,,"Anchorage, Alaska",0.000128
118219,,"Charleston, South Carolina",0.000351
255463,,Global Positioning System,0.000088
278167,,Minneapolis  Saint Paul,0.000074
279177,,"Toledo, Ohio",0.000212
335218,,"Savannah, Georgia",0.000168
364585,,Portugal,0.002356
925063,,Cape Canaveral Air Force Station,0.000103
1081007,,"Phoenix, Arizona",0.000648
1113911,,Louisville International Airport,0.00002
1168792,,Qatar,0.000472
1413862,,Fort Benjamin Harrison,0.00002
1426870,,Oklahoma City,0.000094
1536236,,"Madison, Wisconsin",0.00012
1595961,,"Nashville, Tennessee",0.000449
1399880,,Maryland,0.000966
1604923,,New Brunswick,0.000572
346549,,Denmark,0.001702
1536049,,"Orlando, Florida",0.000274
18403,,Military Airlift Command,0.000021
116123,,Tet Offensive,0.000071
1400479,,George H. W. Bush,0.001043
1400634,,White House,0.00082
18844,,Sikorsky S-61R,0.000018
118091,,Knot (unit),0.000053
19108,,Merrill McPeak,0.000021
1167425,,2003 invasion of Iraq,0.001123
1716289,,Economics,0.001071
19308,,Russell C. Davis,0.000018
19320,,Scott Gration,0.000018
1168754,,Sudan,0.000485
19437,,Operation Overlord,0.000333
126914,,Royal Navy,0.001476
540950,,Winston Churchill,0.001784
985851,,Rouen,0.000289
1089621,,Ad hoc,0.000059
1133790,,Wilhelm Keitel,0.000118
1159788,,Adolf Hitler,0.002154
161691,,Potsdam Conference,0.000403
214219,,Bolshevik,0.000807
214515,,Leonid Brezhnev,0.000464
214520,,Alexei Kosygin,0.00021
404117,,Iranian Revolution,0.00037
415121,,Josip Broz Tito,0.000339
472870,,START I,0.000139
598911,,Communism,0.001135
619972,,Russian Empire,0.001715
656326,,Paraguay,0.000519
752559,,Jamaica,0.000467
894387,,East Germany,0.001003
926242,,Frank Borman,0.000109
1168889,,Confederation,0.000362
1168930,,Guyana,0.000377
1184240,,The New York Times Company,0.000499
1400478,,John F. Kennedy,0.00121
1400481,,Lyndon B. Johnson,0.000696
1400484,,Richard Nixon,0.001205
1400549,,Democratic Party (United States),0.00233
1403084,,Richard V. Allen,0.000053
1714825,,Planned economy,0.000744
20584,,Serpentine group,0.00002
21030,,Dolomite,0.0003
233890,,Connecticut,0.000704
1515159,,Rhode Island,0.000527
20598,,Dike (geology),0.000042
21845,,Lithosphere,0.000252
20599,,List of rock types,0.000018
20605,,Plagioclase,0.000056
1777752,,Sandstone,0.000413
20900,,List of minerals P-R (complete),0.000024
20902,,List of minerals A (complete),0.000029
20951,,Lavendulan,0.000018
287376,,French people,0.000419
21780,,Shear zone,0.000018
1168790,,Tonga,0.000336
21896,,Isostasy,0.000068
21924,,Physiographic regions of the world,0.000047
219468,,Carpathian Mountains,0.000578
511676,,Thomas Henry Huxley,0.00005
614945,,Swan Coastal Plain,0.000063
833253,,Grassland,0.000343
847351,,Carl Linnaeus,0.0003
955374,,Scottish Highlands,0.000241
22187,,Soil liquefaction,0.000018
23700,,Yoweri Museveni,0.000119
610184,,Lord Mayor,0.000064
23531,,ISO 3166-2:RW,0.000022
731519,,ISO 3166-1 alpha-2,0.000202
1167530,,International Organization for Standardization,0.000483
23580,,Isaac Musumba,0.000018
60136,,Christian,0.001667
1404458,,Lawyer,0.000373
23819,,Paul Kagame,0.000027
1167430,,Human Rights Watch,0.000421
1168752,,Burundi,0.000347
23740,,Christian terrorism,0.000018
193606,,Oslo,0.000401
23799,,Franois-Xavier Nzuwonemeye,0.000018
958713,,University of Glasgow,0.00005
1061904,,Academy Award,0.001637
23883,,Dsir Munyaneza,0.000018
23937,,In the Country of Last Things,0.000018
24191,,John Hanks,0.000018
332015,,New Orleans,0.000804
1407345,,Ulysses S. Grant,0.000232
25476,,Phillip E. Johnson,0.000018
1166348,,Nova (TV series),0.000094
1242760,,Christianity Today,0.000116
1537860,,Southern Methodist University,0.000103
25604,,Politicization of science,0.000019
1400534,,Al Gore,0.000564
25975,,Herbert Witzenmann,0.000018
27438,,Mugur Bolohan,0.000018
27466,,FCM Bacu,0.000035
27531,,Liga I,0.000048
83529,,UEFA,0.001266
86609,,Scottish Premier League,0.000269
88823,,Serie A,0.000706
218714,,Cluj-Napoca,0.00015
1458814,,Russian Premier League,0.000095
27603,,Dacian Varga,0.000018
82347,,Forward (association football),0.000355
28014,,Cluj Arena,0.000018
82313,,Association football,0.005069
367026,,Istanbul,0.001053
28928,,Allan G. Wyon,0.000018
59915,,Deacon,0.000316
435515,,Society of Antiquaries of London,0.000104
976364,,Royal Academy,0.000356
1106737,,Holy Orders,0.000534
29857,,DRG Class E 91,0.000018
29963,,Electronic data processing,0.000018
30417,,Roman Catholic Diocese of Leeds,0.000018
94335,,Huddersfield,0.000097
1097042,,Diocese,0.000842
30638,,Kwik Save,0.000034
807848,,FTSE 100 Index,0.000057
818759,,Supermarket,0.000094
30832,,30 St Mary Axe,0.000064
487798,,Barcelona,0.000898
1061902,,Woody Allen,0.000214
1391346,,Provisional Irish Republican Army,0.000377
1647874,,Canary Wharf,0.000098
1648032,,City of London,0.000532
32119,,List of Marks & Spencer brands,0.000018
83517,,FIFA World Cup,0.001891
1647986,,Balham,0.000019
1649621,,Chardonnay,0.000191
1651407,,H. J. Heinz Company,0.000065
1727826,,Google,0.000794
32140,,Polo shirt,0.000019
974293,,Emblem,0.00009
1322205,,Golf,0.001021
32162,,Jacket,0.00003
32166,,Sweater,0.000025
386893,,Baseball,0.001598
1564043,,Equestrianism,0.000315
1061487,,Cary Grant,0.000108
32241,,17001750 in fashion,0.000018
32266,,Fedora,0.000026
1155742,,Green Hornet,0.00003
1179310,,Michael Jackson,0.000992
32304,,Cowboy hat,0.000039
120738,,USS Maine (ACR-1),0.000068
504209,,Beaver,0.000199
1165336,,Western (genre),0.00025
1595949,,Country music,0.001453
32406,,Phrygian cap,0.000046
169207,,Phrygia,0.00013
169387,,Troy,0.000393
169669,,Apollo,0.000443
175556,,Ravenna,0.000291
182645,,Strasbourg,0.000576
511771,,National emblem,0.000095
680431,,Jacques Cousteau,0.0001
979519,,British Museum,0.000481
1407290,,Confederate States of America,0.000871
1741562,,Nintendo,0.000474
32503,,Mohawk hairstyle,0.000037
1022390,,Jazz,0.002266
1053700,,Mary-Kate and Ashley Olsen,0.000042
33247,,Macmillan Cancer Support,0.000026
111500,,Charitable organization,0.000339
34131,,Arthur Jones-Nevill,0.000018
34180,,"Robert Stewart, 1st Marquess of Londonderry",0.000062
543587,,"Robert Stewart, Viscount Castlereagh",0.00007
548382,,Irish people,0.000667
1147656,,"Charles Pratt, 1st Earl Camden",0.000062
34891,,Robert Boyle-Walsingham,0.000018
35202,,Giacinto Scoles,0.000018
1091140,,Superfluid,0.000122
1537846,,University of Minnesota,0.000308
1538152,,Texas A&M University,0.000158
35249,,Helen M. Berman,0.000018
35255,,Francis Patrick Garvan,0.000018
1537128,,Yale University,0.001673
35280,,Society of Chemical Industry,0.000018
814691,,Magazine,0.000942
36460,,Genetic history of indigenous peoples of the Americas,0.000151
460530,,Age of Discovery,0.000668
902743,,Paleo-Indians,0.000403
36970,,Plasmodium colombiense,0.000018
37510,,Fossil Detectives,0.000018
38142,,List of volcanoes in Chile,0.000032
38200,,Caburgua-Huelemolle,0.000032
38268,,"Silver Star Mountain (Skamania County, Washington)",0.000018
38561,,Ilgachuz Range,0.000018
39089,,Fevzi akmak,0.000032
366487,,Mustafa Kemal Atatrk,0.000458
367025,,Ottoman Empire,0.002685
456246,,Russian language,0.001312
39648,,Delisa Newton,0.000018
39786,,K. Eric Drexler,0.000024
1093693,,Massachusetts Institute of Technology,0.000709
1531534,,Engineering,0.001043
1726863,,Open source,0.000443
40778,,Pseudomonas moraviensis,0.000018
40796,,Pseudomonas orientalis,0.000018
41607,,"Zosin, d Voivodeship",0.000018
1313469,,Village,0.000486
1313470,,Voivodeships of Poland,0.000314
1313471,,Powiat,0.000305
1313472,,Gmina,0.000352
41940,,Diego Buuel,0.000018
409641,,Bosnia and Herzegovina,0.000884
1537819,,Northwestern University,0.000198
42391,,List of Muslim historians,0.000018
42677,,Islamic banking,0.000132
54889,,David,0.000203
54890,,Solomon,0.000236
58379,,Gospel,0.000537
59369,,Eternity,0.000034
977921,,Lithography,0.000112
1168178,,Uzbekistan,0.000481
1184351,,Ogg,0.000759
43056,,Nooruddeen Durkee,0.000018
825703,,Columbia University,0.001191
43180,,Aly Khorshid,0.000018
542390,,University of London,0.00017
321493,,Public Broadcasting Service,0.001578
1168902,,Diplomacy,0.000428
1441413,,Islam in Indonesia,0.00021
1518802,,Trust law,0.000359
1537820,,San Diego State University,0.000173
1537822,,U.S. News & World Report,0.000774
1538049,,University of Georgia,0.000194
43353,,Grand Mufti,0.000068
43355,,Eurabia,0.000018
610466,,The Age,0.000434
686510,,Jean Raspail,0.00002
751119,,Conspiracy theory,0.000158
43356,,Fitna (film),0.000018
539753,,Home Office,0.00026
779569,,Theo van Gogh (film director),0.000022
1583266,,Video clip,0.000029
43389,,Emir,0.000165
1167401,,Principality,0.000226
164027,,Georgian language,0.000176
446993,,Catalonia,0.000542
1714803,,Manual labour,0.000048
1766106,,Byzantine Empire,0.002029
43617,,Qalawun complex,0.000018
43952,,Al-Awamiyah,0.000018
44168,,Saad Al-Harthi,0.000018
44227,,Donald Bren,0.000026
271829,,"Newport Beach, California",0.00023
488567,,Olympic Games,0.001679
807382,,Forbes,0.001097
1163527,,"Beverly Hills, California",0.000204
1537720,,"University of California, Santa Barbara",0.000076
44586,,Riaz Ahmed Gohar Shahi,0.000018
84662,,Manchester,0.000992
1118604,,British Raj,0.000894
1302634,,Moon,0.000747
44670,,Radwan al-Habib,0.000018
45253,,McClelland Sherd,0.000018
53033,,Beirut,0.000382
46258,,Edmond Amran El Maleh,0.000018
46340,,Muhammad ibn Idris,0.000018
60195,,Paganism,0.000504
172260,,Sicily,0.001031
599194,,Socialism,0.001243
976286,,Eugne Delacroix,0.000236
1118845,,Urdu,0.000638
1167476,,Organization of American States,0.000851
1185208,,Hip hop music,0.000926
1201881,,Mauritania,0.000284
1650907,,Chicken,0.00036
47318,,Ralph Arthur Bohlmann,0.000018
47382,,List of religious leaders in 1891,0.000018
1777748,,Church of England,0.001503
48403,,Patricroft,0.000018
48426,,"Salford, Greater Manchester",0.000066
158071,,Star (classification),0.000056
539715,,Labour Party (UK),0.001634
1035244,,Coronation Street,0.000107
1061670,,Albert Finney,0.000144
1233966,,Overpopulation,0.000355
1696554,,Escalator,0.000049
48658,,Rivington,0.000018
48867,,What the Industrial Revolution Did for Us,0.000018
1036298,,BBC Two,0.000704
49051,,Hebron,0.000105
50124,,David Ben-Gurion,0.000144
55656,,Karaite Judaism,0.000045
68040,,Western culture,0.000835
1766688,,Justinian I,0.000561
49063,,Via Maris,0.000018
49259,,Bialik Prize,0.000031
49309,,Israel Shahak,0.000018
824726,,The Nation,0.00029
1142416,,Feudalism,0.000884
1313480,,Warsaw,0.000832
49320,,Benjamin Netanyahu,0.000201
53128,,East Jerusalem,0.000144
727232,,Cornell University,0.000546
809444,,MIT Sloan School of Management,0.000046
1114223,,El Al,0.000059
1400687,,Hillary Rodham Clinton,0.000345
49606,,Alignment (political party),0.000036
50955,,Galilee,0.000176
59972,,Jews,0.001289
60305,,Mary (mother of Jesus),0.000242
1167996,,Republic,0.001949
1180221,,Folk music,0.001358
49906,,Moshe Harif,0.000018
1393952,,British Army,0.000998
50593,,Lebanese Forces,0.000029
598896,,Militarism,0.000086
51114,,Ginosar,0.00004
52088,,Independent Jewish Voices,0.000018
1168981,,Democracy Now!,0.000166
52100,,The Making of a Martyr,0.000018
52478,,Tarbikha,0.000018
52490,,Palestine Exploration Fund,0.000021
1144382,,Westminster Abbey,0.000837
1499202,,Royal College of Music,0.000126
1647963,,Marylebone,0.000093
52628,,Jish,0.000018
52792,,Rashid Khalidi,0.000018
52825,,Jewish Institute for National Security Affairs,0.000018
52929,,Tell,0.000029
54885,,Ezekiel,0.000111
168867,,Seleucid Empire,0.000272
279121,,Census,0.001288
492663,,Moscow,0.001289
1202986,,Pharaoh,0.000229
171671,,Alexander the Great,0.000871
172231,,Phoenicia,0.000578
1714862,,Capitalism,0.001172
53190,,United Nations Truce Supervision Organization,0.000018
1393297,,Brian Urquhart,0.00002
53457,,Isabel Kershner,0.000018
53800,,Antiochis of Commagene,0.000018
54174,,Bryn Athyn College,0.000018
54260,,Heifetz,0.000018
186658,,Surname,0.000147
209325,,Danny Heifetz,0.000024
54360,,Oberammergau Passion Play,0.000018
60046,,Last Supper,0.000312
54366,,Monk,0.000421
60246,,Church Fathers,0.000616
1106001,,Ordination,0.000363
1124056,,Krishna,0.000245
1144131,,Henry VIII of England,0.000707
54421,,English translations of the Bible,0.000121
54486,,Matthew 3:1,0.000021
54551,,World English Bible,0.000024
174489,,Pliny the Elder,0.000307
54645,,Salome,0.000024
976319,,Titian,0.000261
1082323,,Carlos Saura,0.000374
54759,,Herem,0.000018
1107177,,Consecration,0.000383
60029,,Judeo-Christian,0.000115
54886,,Miriam,0.000018
60219,,Christmas,0.000764
899866,,Gina Lollobrigida,0.00005
