Source,Target,Type,Weight
6275,8308,Directed,1.0
6275,59751,Directed,1.0
6295,5764,Directed,1.0
6295,7287,Directed,1.0
6296,6389,Directed,1.0
6296,6463,Directed,1.0
6296,6580,Directed,1.0
6296,1108353,Directed,1.0
6296,1205354,Directed,1.0
6296,1218878,Directed,1.0
6296,1337998,Directed,1.0
6296,1409704,Directed,1.0
6296,1457593,Directed,1.0
6340,6345,Directed,1.0
6340,8000,Directed,1.0
6340,9155,Directed,1.0
6340,10051,Directed,1.0
6340,36896,Directed,1.0
6340,60349,Directed,1.0
6340,121347,Directed,1.0
6340,121348,Directed,1.0
6340,168957,Directed,1.0
6340,244646,Directed,1.0
6340,279122,Directed,1.0
6340,833394,Directed,1.0
6340,1090227,Directed,1.0
6340,1118496,Directed,1.0
6340,1118620,Directed,1.0
6340,1168717,Directed,1.0
6340,1168735,Directed,1.0
6340,1232167,Directed,1.0
6340,1233963,Directed,1.0
6340,1362343,Directed,1.0
6340,1441393,Directed,1.0
6340,1655582,Directed,1.0
6341,5985,Directed,1.0
6341,5998,Directed,1.0
6341,6112,Directed,1.0
6341,6345,Directed,1.0
6341,6389,Directed,1.0
6341,6463,Directed,1.0
6341,8306,Directed,1.0
6341,8308,Directed,1.0
6341,8311,Directed,1.0
6341,117480,Directed,1.0
6341,244859,Directed,1.0
6341,303904,Directed,1.0
6341,504001,Directed,1.0
6341,1168723,Directed,1.0
6341,1383396,Directed,1.0
6345,5657,Directed,1.0
6345,5764,Directed,1.0
6345,6314,Directed,1.0
6345,6340,Directed,1.0
6345,6341,Directed,1.0
6345,6389,Directed,1.0
6345,6584,Directed,1.0
6345,7862,Directed,1.0
6345,8308,Directed,1.0
6345,9561,Directed,1.0
6345,9566,Directed,1.0
6345,10233,Directed,1.0
6345,846596,Directed,1.0
6345,1537748,Directed,1.0
6389,5998,Directed,1.0
6389,6345,Directed,1.0
6389,6907,Directed,1.0
6389,9566,Directed,1.0
6389,9576,Directed,1.0
6389,9600,Directed,1.0
6389,36453,Directed,1.0
6389,121347,Directed,1.0
6389,279122,Directed,1.0
6389,824431,Directed,1.0
6389,1168735,Directed,1.0
6463,6074,Directed,1.0
6463,8308,Directed,1.0
6463,8953,Directed,1.0
6463,35367,Directed,1.0
6463,148256,Directed,1.0
6463,647862,Directed,1.0
6463,697817,Directed,1.0
6463,926225,Directed,1.0
6516,6314,Directed,1.0
6516,6341,Directed,1.0
6516,12285,Directed,1.0
6580,6908,Directed,1.0
6580,846596,Directed,1.0
6580,1205354,Directed,1.0
6584,5998,Directed,1.0
6613,4500,Directed,1.0
6613,5709,Directed,1.0
6613,5764,Directed,1.0
6613,5985,Directed,1.0
6613,7287,Directed,1.0
6613,846596,Directed,1.0
6752,9371,Directed,1.0
6907,6908,Directed,1.0
6908,6580,Directed,1.0
6908,6907,Directed,1.0
6908,8504,Directed,1.0
6908,504001,Directed,1.0
6908,504658,Directed,1.0
6908,1055792,Directed,1.0
7022,8306,Directed,1.0
7287,4500,Directed,1.0
7287,7779,Directed,1.0
7287,9931,Directed,1.0
7287,846596,Directed,1.0
7287,896828,Directed,1.0
7287,987583,Directed,1.0
7287,1403809,Directed,1.0
7759,4500,Directed,1.0
7759,15388,Directed,1.0
7770,5764,Directed,1.0
7770,15406,Directed,1.0
7770,1094308,Directed,1.0
7770,1213678,Directed,1.0
7779,4500,Directed,1.0
7779,5764,Directed,1.0
7779,5985,Directed,1.0
7779,7287,Directed,1.0
7779,9728,Directed,1.0
7779,10516,Directed,1.0
7779,20454,Directed,1.0
7779,680536,Directed,1.0
7779,867493,Directed,1.0
7779,1650273,Directed,1.0
7847,4500,Directed,1.0
7847,7856,Directed,1.0
7847,7862,Directed,1.0
7847,15388,Directed,1.0
7847,252843,Directed,1.0
7856,4500,Directed,1.0
7856,7779,Directed,1.0
7856,7847,Directed,1.0
7856,7862,Directed,1.0
7856,15388,Directed,1.0
7856,49755,Directed,1.0
7856,98332,Directed,1.0
7856,174556,Directed,1.0
7856,230038,Directed,1.0
7856,279122,Directed,1.0
7856,846596,Directed,1.0
7856,896828,Directed,1.0
7856,1104695,Directed,1.0
7856,1233963,Directed,1.0
7856,1279626,Directed,1.0
7856,1457593,Directed,1.0
7862,5764,Directed,1.0
7862,174674,Directed,1.0
7862,252843,Directed,1.0
7862,1204794,Directed,1.0
7883,6389,Directed,1.0
7883,7779,Directed,1.0
7883,7847,Directed,1.0
7883,8516,Directed,1.0
7883,15388,Directed,1.0
7883,46403,Directed,1.0
7883,88990,Directed,1.0
7883,112785,Directed,1.0
7883,118980,Directed,1.0
7883,121347,Directed,1.0
7883,164045,Directed,1.0
7883,253322,Directed,1.0
7883,255583,Directed,1.0
7883,255728,Directed,1.0
7883,367035,Directed,1.0
7883,405704,Directed,1.0
7883,413732,Directed,1.0
7883,471303,Directed,1.0
7883,541013,Directed,1.0
7883,619317,Directed,1.0
7883,682479,Directed,1.0
7883,713837,Directed,1.0
7883,782188,Directed,1.0
7883,785921,Directed,1.0
7883,817457,Directed,1.0
7883,832420,Directed,1.0
7883,832501,Directed,1.0
7883,877164,Directed,1.0
7883,897495,Directed,1.0
7883,946976,Directed,1.0
7883,987583,Directed,1.0
7883,1026895,Directed,1.0
7883,1064197,Directed,1.0
7883,1090992,Directed,1.0
7883,1101949,Directed,1.0
7883,1136379,Directed,1.0
7883,1136803,Directed,1.0
7883,1136813,Directed,1.0
7883,1163476,Directed,1.0
7883,1168735,Directed,1.0
7883,1179322,Directed,1.0
7883,1232959,Directed,1.0
7883,1254241,Directed,1.0
7883,1279626,Directed,1.0
7883,1313468,Directed,1.0
7883,1362343,Directed,1.0
7883,1386407,Directed,1.0
7883,1452789,Directed,1.0
7883,1457593,Directed,1.0
7883,1523138,Directed,1.0
7883,1537250,Directed,1.0
7883,1625918,Directed,1.0
7883,1634038,Directed,1.0
7883,1728090,Directed,1.0
7883,1771549,Directed,1.0
7885,4500,Directed,1.0
7885,6613,Directed,1.0
7885,7779,Directed,1.0
7885,7856,Directed,1.0
7885,7862,Directed,1.0
7885,9896,Directed,1.0
7885,350468,Directed,1.0
7885,843548,Directed,1.0
7885,846596,Directed,1.0
7885,987583,Directed,1.0
7885,1233963,Directed,1.0
7885,1680965,Directed,1.0
8000,6340,Directed,1.0
8000,8412,Directed,1.0
8000,279122,Directed,1.0
8000,610154,Directed,1.0
8000,832501,Directed,1.0
8000,843548,Directed,1.0
8000,1175077,Directed,1.0
8000,1441393,Directed,1.0
8000,1655802,Directed,1.0
8000,1684420,Directed,1.0
8055,232926,Directed,1.0
8055,459249,Directed,1.0
8055,681781,Directed,1.0
8055,807904,Directed,1.0
8055,926225,Directed,1.0
8055,926275,Directed,1.0
8055,1089360,Directed,1.0
8055,1136379,Directed,1.0
8055,1424459,Directed,1.0
8087,7862,Directed,1.0
8087,8698,Directed,1.0
8087,842999,Directed,1.0
8269,1464928,Directed,1.0
8306,6341,Directed,1.0
8306,8308,Directed,1.0
8306,8311,Directed,1.0
8306,9371,Directed,1.0
8306,121347,Directed,1.0
8306,172521,Directed,1.0
8306,279122,Directed,1.0
8306,1400304,Directed,1.0
8308,4500,Directed,1.0
8308,5343,Directed,1.0
8308,6314,Directed,1.0
8308,6341,Directed,1.0
8308,6345,Directed,1.0
8308,6389,Directed,1.0
8308,6463,Directed,1.0
8308,8306,Directed,1.0
8308,8311,Directed,1.0
8308,9371,Directed,1.0
8308,279122,Directed,1.0
8308,504001,Directed,1.0
8308,896828,Directed,1.0
8308,1168723,Directed,1.0
8308,1383396,Directed,1.0
8308,1496185,Directed,1.0
8308,1653406,Directed,1.0
8308,1728090,Directed,1.0
8309,6341,Directed,1.0
8309,6580,Directed,1.0
8309,6907,Directed,1.0
8309,6908,Directed,1.0
8309,7847,Directed,1.0
8309,8306,Directed,1.0
8309,8308,Directed,1.0
8309,8311,Directed,1.0
8309,8496,Directed,1.0
8309,11586,Directed,1.0
8309,26185,Directed,1.0
8309,56736,Directed,1.0
8309,68509,Directed,1.0
8309,135488,Directed,1.0
8309,135504,Directed,1.0
8309,136668,Directed,1.0
8309,279119,Directed,1.0
8309,352543,Directed,1.0
8309,847505,Directed,1.0
8309,1067607,Directed,1.0
8309,1403809,Directed,1.0
8311,6341,Directed,1.0
8311,6345,Directed,1.0
8311,6580,Directed,1.0
8311,6907,Directed,1.0
8311,6908,Directed,1.0
8311,8306,Directed,1.0
8311,8308,Directed,1.0
8311,9227,Directed,1.0
8311,9479,Directed,1.0
8311,43344,Directed,1.0
8311,230038,Directed,1.0
8311,279119,Directed,1.0
8311,279122,Directed,1.0
8311,504001,Directed,1.0
8311,847505,Directed,1.0
8311,885852,Directed,1.0
8311,1105998,Directed,1.0
8311,1118496,Directed,1.0
8311,1175077,Directed,1.0
8311,1175416,Directed,1.0
8311,1403809,Directed,1.0
8311,1539426,Directed,1.0
8339,5764,Directed,1.0
8339,187620,Directed,1.0
8339,195254,Directed,1.0
8339,370894,Directed,1.0
8371,5764,Directed,1.0
8371,6389,Directed,1.0
8371,9227,Directed,1.0
8371,9566,Directed,1.0
8371,174556,Directed,1.0
8371,230038,Directed,1.0
8371,279122,Directed,1.0
8412,8000,Directed,1.0
8496,6112,Directed,1.0
8496,6613,Directed,1.0
8496,8516,Directed,1.0
8496,509544,Directed,1.0
8496,511635,Directed,1.0
8504,6389,Directed,1.0
8504,6613,Directed,1.0
8504,8516,Directed,1.0
8504,10233,Directed,1.0
8504,66725,Directed,1.0
8516,6112,Directed,1.0
8516,6613,Directed,1.0
8516,8496,Directed,1.0
8516,8504,Directed,1.0
8516,8525,Directed,1.0
8516,23096,Directed,1.0
8516,66725,Directed,1.0
8516,98332,Directed,1.0
8516,187541,Directed,1.0
8516,230038,Directed,1.0
8516,279122,Directed,1.0
8516,280589,Directed,1.0
8516,362517,Directed,1.0
8516,370894,Directed,1.0
8516,442007,Directed,1.0
8516,459249,Directed,1.0
8516,621948,Directed,1.0
8516,624053,Directed,1.0
8516,652939,Directed,1.0
8516,682479,Directed,1.0
8516,802740,Directed,1.0
8516,832501,Directed,1.0
8516,896828,Directed,1.0
8516,1091056,Directed,1.0
8516,1099474,Directed,1.0
8516,1118496,Directed,1.0
8516,1168723,Directed,1.0
8516,1362343,Directed,1.0
8516,1383396,Directed,1.0
8516,1441393,Directed,1.0
8516,1537250,Directed,1.0
8516,1609252,Directed,1.0
8516,1711932,Directed,1.0
8525,6613,Directed,1.0
8525,8496,Directed,1.0
8525,8516,Directed,1.0
8525,117472,Directed,1.0
8525,187541,Directed,1.0
8525,230038,Directed,1.0
8525,442007,Directed,1.0
8525,446994,Directed,1.0
8525,459249,Directed,1.0
8525,541013,Directed,1.0
8525,987583,Directed,1.0
8525,1099474,Directed,1.0
8525,1576642,Directed,1.0
8655,7287,Directed,1.0
8655,9227,Directed,1.0
8655,42732,Directed,1.0
8655,279122,Directed,1.0
8655,370894,Directed,1.0
8655,1118496,Directed,1.0
8655,1205255,Directed,1.0
8655,1441393,Directed,1.0
8655,1655802,Directed,1.0
8673,7856,Directed,1.0
8673,7862,Directed,1.0
8673,9227,Directed,1.0
8673,121347,Directed,1.0
8673,230038,Directed,1.0
8673,279122,Directed,1.0
8673,541013,Directed,1.0
8698,5764,Directed,1.0
8698,8087,Directed,1.0
8698,9227,Directed,1.0
8698,802030,Directed,1.0
8698,877012,Directed,1.0
8698,1254867,Directed,1.0
8824,5343,Directed,1.0
8824,9225,Directed,1.0
8824,9227,Directed,1.0
8824,9479,Directed,1.0
8824,9566,Directed,1.0
8850,9479,Directed,1.0
8850,541013,Directed,1.0
8953,6389,Directed,1.0
8953,8655,Directed,1.0
8953,8961,Directed,1.0
8953,9479,Directed,1.0
8953,9728,Directed,1.0
8953,11080,Directed,1.0
8953,11876,Directed,1.0
8953,66725,Directed,1.0
8953,232926,Directed,1.0
8953,253107,Directed,1.0
8953,267270,Directed,1.0
8953,1362343,Directed,1.0
8953,1406267,Directed,1.0
8953,1441393,Directed,1.0
8953,1715239,Directed,1.0
8961,7759,Directed,1.0
8961,9479,Directed,1.0
8961,58885,Directed,1.0
8961,117739,Directed,1.0
8961,138509,Directed,1.0
8961,243528,Directed,1.0
8961,244859,Directed,1.0
8961,280589,Directed,1.0
8961,335131,Directed,1.0
8961,446994,Directed,1.0
8961,461123,Directed,1.0
8961,568995,Directed,1.0
8961,681781,Directed,1.0
8961,945252,Directed,1.0
8961,1208256,Directed,1.0
8961,1218878,Directed,1.0
8961,1387565,Directed,1.0
8961,1400304,Directed,1.0
8961,1549575,Directed,1.0
8961,1684420,Directed,1.0
8961,1715239,Directed,1.0
9008,11876,Directed,1.0
9037,1121863,Directed,1.0
9155,6340,Directed,1.0
9155,279122,Directed,1.0
9155,1383396,Directed,1.0
9225,6345,Directed,1.0
9225,60242,Directed,1.0
9227,6341,Directed,1.0
9227,6389,Directed,1.0
9227,8308,Directed,1.0
9227,9479,Directed,1.0
9227,279029,Directed,1.0
9227,279122,Directed,1.0
9227,459249,Directed,1.0
9227,541013,Directed,1.0
9227,621948,Directed,1.0
9227,807904,Directed,1.0
9227,1118496,Directed,1.0
9227,1163476,Directed,1.0
9227,1167402,Directed,1.0
9227,1208256,Directed,1.0
9227,1337998,Directed,1.0
9227,1400547,Directed,1.0
9227,1400548,Directed,1.0
9227,1655582,Directed,1.0
9371,6341,Directed,1.0
9371,6345,Directed,1.0
9371,6389,Directed,1.0
9371,6752,Directed,1.0
9371,8308,Directed,1.0
9371,195254,Directed,1.0
9371,541013,Directed,1.0
9371,621948,Directed,1.0
9371,880439,Directed,1.0
9371,1168717,Directed,1.0
9371,1204836,Directed,1.0
9371,1354957,Directed,1.0
9371,1653406,Directed,1.0
9421,6345,Directed,1.0
9421,7287,Directed,1.0
9431,8496,Directed,1.0
9431,9920,Directed,1.0
9431,1091124,Directed,1.0
9478,9479,Directed,1.0
9479,5764,Directed,1.0
9479,8308,Directed,1.0
9479,8961,Directed,1.0
9479,9225,Directed,1.0
9479,9566,Directed,1.0
9479,66725,Directed,1.0
9479,1118496,Directed,1.0
9561,5709,Directed,1.0
9561,5764,Directed,1.0
9561,6345,Directed,1.0
9561,7856,Directed,1.0
9561,1205228,Directed,1.0
9561,1205255,Directed,1.0
9566,6341,Directed,1.0
9566,6389,Directed,1.0
9566,9479,Directed,1.0
9566,9764,Directed,1.0
9566,60349,Directed,1.0
9566,535544,Directed,1.0
9566,1655802,Directed,1.0
9576,5985,Directed,1.0
9576,5998,Directed,1.0
9576,6296,Directed,1.0
9576,6314,Directed,1.0
9576,6345,Directed,1.0
9576,6389,Directed,1.0
9576,6580,Directed,1.0
9576,6907,Directed,1.0
9576,8824,Directed,1.0
9576,9561,Directed,1.0
9576,9600,Directed,1.0
9576,9941,Directed,1.0
9576,9961,Directed,1.0
9600,6345,Directed,1.0
9600,6389,Directed,1.0
9600,9227,Directed,1.0
9600,121347,Directed,1.0
9600,610154,Directed,1.0
9600,614233,Directed,1.0
9600,1175077,Directed,1.0
9700,6389,Directed,1.0
9700,14721,Directed,1.0
9728,4500,Directed,1.0
9728,535544,Directed,1.0
9728,846596,Directed,1.0
9764,4500,Directed,1.0
9764,5764,Directed,1.0
9764,9566,Directed,1.0
9771,8496,Directed,1.0
9771,9431,Directed,1.0
9771,9920,Directed,1.0
9771,43488,Directed,1.0
9771,60349,Directed,1.0
9771,64873,Directed,1.0
9771,121348,Directed,1.0
9771,174556,Directed,1.0
9771,244859,Directed,1.0
9771,361446,Directed,1.0
9771,405704,Directed,1.0
9771,491006,Directed,1.0
9771,843281,Directed,1.0
9771,1409704,Directed,1.0
9771,1463418,Directed,1.0
9896,5985,Directed,1.0
9896,843323,Directed,1.0
9896,843548,Directed,1.0
9896,845238,Directed,1.0
9896,853552,Directed,1.0
9920,9479,Directed,1.0
9941,9371,Directed,1.0
9941,1060579,Directed,1.0
9961,230038,Directed,1.0
9961,279122,Directed,1.0
9961,987583,Directed,1.0
9961,1205356,Directed,1.0
9961,1655802,Directed,1.0
10013,6463,Directed,1.0
10013,8655,Directed,1.0
10391,6112,Directed,1.0
10391,6389,Directed,1.0
10516,4500,Directed,1.0
11022,5698,Directed,1.0
11022,5764,Directed,1.0
11022,5985,Directed,1.0
11095,5985,Directed,1.0
11586,6613,Directed,1.0
11586,8311,Directed,1.0
11586,9227,Directed,1.0
11586,55116,Directed,1.0
11586,66725,Directed,1.0
11586,67913,Directed,1.0
11586,121347,Directed,1.0
11586,135488,Directed,1.0
11586,135504,Directed,1.0
11586,136668,Directed,1.0
11586,354608,Directed,1.0
11586,442007,Directed,1.0
11586,457098,Directed,1.0
11586,504001,Directed,1.0
11586,847505,Directed,1.0
11586,974267,Directed,1.0
11586,1033735,Directed,1.0
11586,1118496,Directed,1.0
11586,1205348,Directed,1.0
11586,1205356,Directed,1.0
11586,1441393,Directed,1.0
11586,1455774,Directed,1.0
11586,1464928,Directed,1.0
11588,8504,Directed,1.0
11588,138509,Directed,1.0
11588,252843,Directed,1.0
11588,896828,Directed,1.0
11588,1091056,Directed,1.0
11588,1313468,Directed,1.0
11698,535544,Directed,1.0
11856,6112,Directed,1.0
11856,279122,Directed,1.0
11856,326972,Directed,1.0
11856,541013,Directed,1.0
11856,543242,Directed,1.0
11856,1167891,Directed,1.0
11856,1398130,Directed,1.0
11876,5343,Directed,1.0
11876,6389,Directed,1.0
11876,49755,Directed,1.0
11876,53035,Directed,1.0
11876,66725,Directed,1.0
11876,98332,Directed,1.0
11876,362517,Directed,1.0
11876,446994,Directed,1.0
11876,459249,Directed,1.0
11876,568995,Directed,1.0
11876,619317,Directed,1.0
11876,880439,Directed,1.0
11876,896828,Directed,1.0
11876,987583,Directed,1.0
11876,1121863,Directed,1.0
11876,1383396,Directed,1.0
11876,1419990,Directed,1.0
11876,1537808,Directed,1.0
11876,1653406,Directed,1.0
11876,1655802,Directed,1.0
11876,1684420,Directed,1.0
11980,642566,Directed,1.0
11980,647855,Directed,1.0
11980,1095715,Directed,1.0
11980,1337998,Directed,1.0
12177,6389,Directed,1.0
12177,9225,Directed,1.0
12177,843376,Directed,1.0
12177,843548,Directed,1.0
12177,845238,Directed,1.0
12177,848962,Directed,1.0
12177,1464928,Directed,1.0
12209,6389,Directed,1.0
12285,6112,Directed,1.0
12285,6296,Directed,1.0
12285,6580,Directed,1.0
12285,60113,Directed,1.0
12285,66725,Directed,1.0
12285,121348,Directed,1.0
12285,168957,Directed,1.0
12285,180323,Directed,1.0
12285,195254,Directed,1.0
12285,367035,Directed,1.0
12285,835651,Directed,1.0
12285,870531,Directed,1.0
12285,896828,Directed,1.0
12285,978355,Directed,1.0
12285,1079791,Directed,1.0
12285,1108161,Directed,1.0
12285,1115861,Directed,1.0
12285,1118496,Directed,1.0
12285,1168735,Directed,1.0
12285,1387565,Directed,1.0
12285,1441393,Directed,1.0
12285,1464928,Directed,1.0
12285,1529299,Directed,1.0
12300,5768,Directed,1.0
12300,5935,Directed,1.0
12300,5985,Directed,1.0
12300,5998,Directed,1.0
12300,6264,Directed,1.0
12300,8339,Directed,1.0
12300,49755,Directed,1.0
12300,294055,Directed,1.0
12300,1204836,Directed,1.0
12300,1233963,Directed,1.0
12300,1537761,Directed,1.0
12445,6341,Directed,1.0
12445,11876,Directed,1.0
12445,1184538,Directed,1.0
12453,4500,Directed,1.0
12453,6613,Directed,1.0
12453,7287,Directed,1.0
12453,8000,Directed,1.0
12453,15388,Directed,1.0
12453,1233963,Directed,1.0
12453,1283958,Directed,1.0
13259,9566,Directed,1.0
13259,1537348,Directed,1.0
13259,1537805,Directed,1.0
15364,7856,Directed,1.0
15364,7862,Directed,1.0
15364,15406,Directed,1.0
15388,7847,Directed,1.0
15388,7856,Directed,1.0
15388,7862,Directed,1.0
15388,15406,Directed,1.0
15388,16158,Directed,1.0
15388,362517,Directed,1.0
15388,1089353,Directed,1.0
15388,1094308,Directed,1.0
15388,1655582,Directed,1.0
15406,4500,Directed,1.0
15406,7862,Directed,1.0
15406,8000,Directed,1.0
15406,15388,Directed,1.0
15406,174556,Directed,1.0
15406,347877,Directed,1.0
15406,459249,Directed,1.0
15406,575780,Directed,1.0
15406,610154,Directed,1.0
15406,867493,Directed,1.0
15406,896828,Directed,1.0
15406,1094308,Directed,1.0
15406,1205348,Directed,1.0
15406,1441393,Directed,1.0
15406,1457593,Directed,1.0
15406,1655582,Directed,1.0
15406,1655802,Directed,1.0
15549,6389,Directed,1.0
15549,7856,Directed,1.0
15549,8087,Directed,1.0
15549,21843,Directed,1.0
15549,279122,Directed,1.0
15549,294055,Directed,1.0
15549,433392,Directed,1.0
15549,1094308,Directed,1.0
15549,1094447,Directed,1.0
15549,1113942,Directed,1.0
15549,1396980,Directed,1.0
15549,1601871,Directed,1.0
15576,279122,Directed,1.0
15576,459249,Directed,1.0
15576,541013,Directed,1.0
15576,808057,Directed,1.0
15576,1163290,Directed,1.0
15576,1655582,Directed,1.0
15576,1715239,Directed,1.0
16158,7856,Directed,1.0
16158,867166,Directed,1.0
16158,1090966,Directed,1.0
16487,18303,Directed,1.0
16487,243528,Directed,1.0
16487,279122,Directed,1.0
16487,1118496,Directed,1.0
16487,1655802,Directed,1.0
16584,18286,Directed,1.0
16584,18303,Directed,1.0
16584,237919,Directed,1.0
16584,279122,Directed,1.0
17156,18286,Directed,1.0
17156,18303,Directed,1.0
17156,98332,Directed,1.0
17156,121347,Directed,1.0
17156,250268,Directed,1.0
17156,279122,Directed,1.0
17156,362517,Directed,1.0
17156,460588,Directed,1.0
17156,1400304,Directed,1.0
17263,18303,Directed,1.0
17263,279122,Directed,1.0
17629,17742,Directed,1.0
17629,18303,Directed,1.0
17629,117810,Directed,1.0
17629,119785,Directed,1.0
17629,121347,Directed,1.0
17629,279122,Directed,1.0
17629,362517,Directed,1.0
17629,1118496,Directed,1.0
17629,1655802,Directed,1.0
17742,18303,Directed,1.0
17742,19440,Directed,1.0
17742,121347,Directed,1.0
17742,279122,Directed,1.0
17742,1134232,Directed,1.0
17751,17742,Directed,1.0
17751,18303,Directed,1.0
17751,117472,Directed,1.0
17751,117810,Directed,1.0
17751,121347,Directed,1.0
17751,279122,Directed,1.0
17751,362517,Directed,1.0
17751,394841,Directed,1.0
17751,519419,Directed,1.0
17751,610154,Directed,1.0
17751,926275,Directed,1.0
17751,1513212,Directed,1.0
17955,18303,Directed,1.0
17955,19440,Directed,1.0
17955,119785,Directed,1.0
17955,232926,Directed,1.0
17955,243528,Directed,1.0
17955,279122,Directed,1.0
17955,303904,Directed,1.0
17955,335131,Directed,1.0
17955,1403254,Directed,1.0
18067,18303,Directed,1.0
18067,118409,Directed,1.0
18067,121347,Directed,1.0
18067,279122,Directed,1.0
